,tconst,title,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,file_name
0,tt0017496,Under Fire,0,1926,50,Western,,,under-fire
1,tt0020564,Wall Street,0,1929,68,Drama,6.6,23.0,wall-street
2,tt0022626,American Madness,0,1932,75,Drama,7.4,2034.0,american-madness
3,tt0023969,Duck Soup,0,1933,69,"Comedy,Musical",7.8,59637.0,duck-soup
4,tt0036613,Arsenic and Old Lace,0,1943,118,"Comedy,Crime,Thriller",7.9,69969.0,arsenic-and-old-lace
5,tt0036670,Brazil,0,1944,91,"Comedy,Musical,Romance",6.0,186.0,brazil
6,tt0036775,Double Indemnity,0,1944,107,"Crime,Drama,Film-Noir",8.3,153962.0,double-indemnity
7,tt0037343,Tall in the Saddle,0,1944,87,Western,6.9,3123.0,tall-in-the-saddle
8,tt0038650,It's a Wonderful Life,0,1946,130,"Drama,Family,Fantasy",8.6,443773.0,it's-a-wonderful-life
9,tt0040835,Station West,0,1948,97,Western,6.6,1254.0,station-west
10,tt0041827,Roughshod,0,1949,88,"Action,Adventure,Drama",6.6,630.0,roughshod
11,tt0042192,All About Eve,0,1950,138,Drama,8.2,129329.0,all-about-eve
12,tt0043014,Sunset Blvd.,0,1950,110,"Drama,Film-Noir",8.4,217108.0,sunset-blvd.
13,tt0043686,Jeux interdits,0,1952,86,"Comedy,Drama,War",8.0,12093.0,jeux-interdits
14,tt0044079,Strangers on a Train,0,1951,101,"Crime,Drama,Film-Noir",7.9,132018.0,strangers-on-a-train
15,tt0044907,Les Miserables,0,1952,105,"Adventure,Drama,History",6.8,1046.0,les-miserables
16,tt0045793,From Here to Eternity,0,1953,118,"Drama,Romance,War",7.6,46434.0,from-here-to-eternity
17,tt0047396,Rear Window,0,1954,112,"Mystery,Thriller",8.5,479523.0,rear-window
18,tt0047849,Bad Day at Black Rock,0,1955,81,"Crime,Drama,Mystery",7.7,21479.0,bad-day-at-black-rock
19,tt0048356,Marty,0,1955,90,"Drama,Romance",7.7,23999.0,marty
20,tt0048545,Rebel Without a Cause,0,1955,111,Drama,7.7,89263.0,rebel-without-a-cause
21,tt0048734,Top Gun,0,1955,73,Western,6.2,588.0,top-gun
22,tt0063426,Petulia,0,1968,105,"Drama,Romance",6.9,3101.0,petulia
23,tt0064232,Le diable par la queue,0,1969,90,Comedy,6.7,806.0,le-diable-par-la-queue
24,tt0064665,Midnight Cowboy,0,1969,113,Drama,7.8,109364.0,midnight-cowboy
25,tt0065724,Five Easy Pieces,0,1970,98,Drama,7.4,36399.0,five-easy-pieces
26,tt0067128,Get Carter,0,1971,112,"Action,Crime,Thriller",7.4,32929.0,get-carter
27,tt0067180,"Happy Birthday, Wanda June",0,1971,105,"Comedy,Drama",6.0,328.0,"happy-birthday,-wanda-june"
28,tt0067309,Klute,0,1971,114,"Crime,Mystery,Thriller",7.1,25562.0,klute
29,tt0069704,American Graffiti,0,1973,110,"Comedy,Drama",7.4,88258.0,american-graffiti
30,tt0069762,Badlands,0,1973,94,"Action,Crime,Drama",7.7,71843.0,badlands
31,tt0069945,Dark Star,0,1974,83,"Comedy,Sci-Fi",6.2,24211.0,dark-star
32,tt0070337,Lost Horizon,0,1973,150,"Adventure,Drama,Fantasy",5.2,2578.0,lost-horizon
33,tt0070379,Mean Streets,0,1973,112,"Crime,Drama,Thriller",7.2,107568.0,mean-streets
34,tt0071315,Chinatown,0,1974,130,"Drama,Mystery,Thriller",8.2,318962.0,chinatown
35,tt0071571,Gone in 60 Seconds,0,1974,105,"Action,Crime,Drama",6.4,9000.0,gone-in-60-seconds
36,tt0072684,Barry Lyndon,0,1975,185,"Adventure,Drama,War",8.1,163635.0,barry-lyndon
37,tt0072890,Dog Day Afternoon,0,1975,125,"Biography,Crime,Drama",8.0,251919.0,dog-day-afternoon
38,tt0073195,Jaws,0,1975,124,"Adventure,Thriller",8.1,581126.0,jaws
39,tt0073440,Nashville,0,1975,160,"Comedy,Drama,Music",7.7,25969.0,nashville
40,tt0073486,One Flew Over the Cuckoo's Nest,0,1975,133,Drama,8.7,980950.0,one-flew-over-the-cuckoo's-nest
41,tt0073692,Shampoo,0,1975,110,"Comedy,Drama",6.4,12694.0,shampoo
42,tt0073705,Shivers,0,1975,87,"Horror,Sci-Fi",6.4,20704.0,shivers
